n,num_add,trial,matches,percent
20,1,0,43,0.43
20,1,1,10,0.1
20,1,2,20,0.2
20,1,3,8,0.08
20,1,4,92,0.92
20,1,5,51,0.51
20,1,6,33,0.33
20,1,7,29,0.29
20,1,8,17,0.17
20,1,9,28,0.28
20,1,10,12,0.12
20,1,11,22,0.22
20,1,12,17,0.17
20,1,13,28,0.28
20,1,14,20,0.2
20,1,15,31,0.31
20,1,16,69,0.69
20,1,17,17,0.17
20,1,18,27,0.27
20,1,19,6,0.06
20,1,20,33,0.33
20,1,21,30,0.3
20,1,22,19,0.19
20,1,23,34,0.34
20,1,24,54,0.54
20,1,25,41,0.41
20,1,26,18,0.18
20,1,27,34,0.34
20,1,28,23,0.23
20,1,29,19,0.19
20,1,30,84,0.84
20,1,31,19,0.19
20,2,0,11,0.11
20,2,1,61,0.61
20,2,2,17,0.17
20,2,3,6,0.06
20,2,4,6,0.06
20,2,5,25,0.25
20,2,6,28,0.28
20,2,7,66,0.66
20,2,8,20,0.2
20,2,9,18,0.18
20,2,10,35,0.35
20,2,11,24,0.24
20,2,12,17,0.17
20,2,13,15,0.15
20,2,14,23,0.23
20,2,15,47,0.47
20,2,16,16,0.16
20,2,17,70,0.7
20,2,18,13,0.13
20,2,19,44,0.44
20,2,20,40,0.4
20,2,21,19,0.19
20,2,22,29,0.29
20,2,23,8,0.08
20,2,24,12,0.12
20,2,25,31,0.31
20,2,26,15,0.15
20,2,27,13,0.13
20,2,28,37,0.37
20,2,29,54,0.54
20,2,30,16,0.16
20,2,31,32,0.32
20,5,0,3,0.03
20,5,1,5,0.05
20,5,2,0,0.0
20,5,3,2,0.02
20,5,4,26,0.26
20,5,5,13,0.13
20,5,6,9,0.09
20,5,7,15,0.15
20,5,8,0,0.0
20,5,9,6,0.06
20,5,10,5,0.05
20,5,11,11,0.11
20,5,12,4,0.04
20,5,13,5,0.05
20,5,14,35,0.35
20,5,15,1,0.01
20,5,16,10,0.1
20,5,17,12,0.12
20,5,18,4,0.04
20,5,19,8,0.08
20,5,20,16,0.16
20,5,21,3,0.03
20,5,22,4,0.04
20,5,23,15,0.15
20,5,24,4,0.04
20,5,25,15,0.15
20,5,26,5,0.05
20,5,27,3,0.03
20,5,28,4,0.04
20,5,29,4,0.04
20,5,30,11,0.11
20,5,31,4,0.04
20,10,0,3,0.03
20,10,1,5,0.05
20,10,2,3,0.03
20,10,3,8,0.08
20,10,4,6,0.06
20,10,5,5,0.05
20,10,6,1,0.01
20,10,7,2,0.02
20,10,8,7,0.07
20,10,9,2,0.02
20,10,10,9,0.09
20,10,11,3,0.03
20,10,12,3,0.03
20,10,13,1,0.01
20,10,14,6,0.06
20,10,15,5,0.05
20,10,16,6,0.06
20,10,17,5,0.05
20,10,18,0,0.0
