user_id,persona_id,num_unique_cohort_ids,per_unique_cohort_ids,per_same_cohort_ids,cohort_ids
0,5,23,0.4423076923076923,0.5576923076923077,"[11098, 3772, 3568, 3595, 3368, 19183, 19183, 3772, 3594, 3568, 4483, 3775, 3595, 19183, 3568, 3568, 18908, 3568, 19183, 3772, 4358, 19143, 3649, 18908, 3287, 19223, 3566, 3798, 3568, 19183, 19273, 3595, 3595, 3839, 3832, 4210, 19183, 3595, 3595, 3594, 3595, 3772, 3594, 28802, 3440, 3568, 19183, 3568, 19183, 3568, 3568, 3772]"
1,3,36,0.6923076923076923,0.3076923076923077,"[27193, 17812, 18880, 15937, 17803, 2654, 22933, 2646, 17805, 17814, 17814, 3033, 17805, 2653, 18238, 27246, 2658, 17805, 27246, 27238, 18250, 27238, 18242, 27246, 3020, 6733, 8461, 15930, 32996, 2655, 17803, 17811, 2653, 3029, 17805, 17808, 17807, 33005, 27247, 27238, 17803, 16322, 17768, 17806, 17803, 17808, 3033, 15932, 1794, 5129, 17805, 17803]"
2,8,28,0.5384615384615384,0.46153846153846156,"[5686, 21894, 6889, 5686, 20606, 22989, 20580, 20605, 30364, 5838, 20335, 5886, 3763, 20446, 21621, 20606, 20606, 22989, 22989, 20606, 19178, 3595, 30349, 22989, 6889, 4854, 22989, 23125, 22989, 5888, 22989, 5686, 22989, 3772, 30337, 4735, 22989, 23125, 21643, 19143, 20606, 5686, 21822, 22989, 5686, 22989, 22989, 22989, 3594, 19185, 5686, 20606]"
3,6,18,0.34615384615384615,0.6538461538461539,"[19273, 3768, 19184, 19178, 19184, 3266, 19143, 19184, 3868, 19028, 3772, 19184, 19178, 19178, 19184, 19184, 21436, 19223, 19143, 19184, 19183, 19273, 3595, 3768, 19143, 19184, 3595, 3772, 19273, 19273, 19184, 21825, 19281, 19184, 19143, 19143, 19143, 19185, 19184, 30349, 19184, 19143, 19178, 19143, 19184, 19143, 19273, 3768, 19184, 19184, 3763, 19184]"
4,1,17,0.3269230769230769,0.6730769230769231,"[6240, 6210, 6243, 6232, 6232, 4147, 6243, 6210, 6210, 6243, 6210, 6207, 6240, 6198, 4147, 6207, 6207, 6210, 4169, 3524, 6210, 6210, 6238, 6210, 4147, 6240, 5634, 6207, 6207, 6210, 6207, 6210, 4147, 6210, 6210, 6240, 6242, 4170, 6130, 6240, 6210, 6228, 6210, 6228, 6243, 4148, 6242, 4150, 6243, 6207, 6243, 6210]"
5,5,23,0.4423076923076923,0.5576923076923077,"[3595, 18907, 3568, 3595, 19279, 3595, 19183, 4210, 19143, 19185, 19183, 4208, 19183, 3368, 3595, 19143, 3595, 28804, 19273, 3868, 19183, 3595, 3595, 18941, 3649, 3525, 19183, 28519, 11098, 3684, 19183, 3568, 19183, 19183, 3595, 19183, 3568, 3368, 3868, 3595, 19183, 3834, 3368, 4210, 3595, 4419, 3568, 19273, 3568, 19742, 19273, 3772]"
6,9,30,0.5769230769230769,0.42307692307692313,"[19976, 18724, 4358, 29652, 3737, 3415, 19185, 19188, 19185, 4044, 19939, 4358, 19939, 19944, 19185, 19568, 19944, 28773, 19185, 19551, 19146, 4070, 19939, 4358, 21141, 19578, 11547, 3737, 19977, 20606, 19983, 19578, 4331, 21126, 19180, 29653, 19180, 19939, 19983, 19983, 19977, 19185, 19185, 19578, 19581, 4329, 19977, 19982, 19943, 21141, 4329, 19939]"
7,4,17,0.3269230769230769,0.6730769230769231,"[6228, 22578, 6236, 6236, 6236, 6547, 6232, 4169, 6236, 22578, 6228, 20120, 6222, 6236, 22578, 6236, 22578, 6236, 4161, 6139, 6236, 6236, 6236, 20120, 22578, 22578, 6236, 6243, 6236, 6236, 22297, 6228, 22202, 6236, 6232, 6228, 6236, 6236, 6236, 6228, 22619, 6228, 6216, 4462, 6236, 6534, 6236, 6228, 6228, 6236, 6243, 22202]"
8,9,28,0.5384615384615384,0.46153846153846156,"[19958, 4044, 29653, 4331, 19939, 19939, 4068, 19976, 19939, 29653, 4363, 19185, 19141, 5841, 29225, 4358, 3772, 19143, 4358, 29653, 19143, 19941, 4329, 21141, 4044, 19185, 19578, 19185, 4329, 19939, 3768, 4044, 3737, 4329, 19939, 19185, 4329, 19143, 19578, 19977, 4358, 19944, 19578, 19958, 19939, 19309, 4046, 21141, 19977, 19551, 20854, 29243]"
9,1,20,0.38461538461538464,0.6153846153846154,"[6210, 6243, 4147, 4170, 6210, 4144, 6207, 4148, 6242, 6243, 4144, 6207, 4171, 6210, 3547, 6243, 4147, 6240, 6243, 6210, 6210, 4456, 6207, 6205, 4456, 6243, 4147, 6210, 6414, 6210, 6210, 4150, 4147, 3523, 6210, 6243, 4171, 4483, 6242, 4147, 4147, 6240, 6242, 4139, 4144, 6242, 6207, 6207, 5650, 6210, 6210, 6232]"
